时间,信号类型,量能比率,价格vsEMA%,张力,加速度,DXY燃料,黄金信号
2025/8/19 20:00,BEARISH_SINGULARITY,1.211057214393044,-2.443886686,0.776455353,-0.24964201,0.050583661,开多
2025/8/20 0:00,BEARISH_SINGULARITY,1.3651891070313045,-1.703571631,0.5888154581342092,-0.185379137,0.092627213,开仓多
2025/8/20 20:00,BEARISH_SINGULARITY,0.5871923921938002,-0.502785443,0.6087008170529308,-0.188962472,0.092627213,平仓/反手空
2025/8/21 4:00,BEARISH_SINGULARITY,0.5896713034729272,-0.684407044,0.833616106,-0.279155746,-0.211566892,空平/反多
2025/8/21 20:00,BEARISH_SINGULARITY,0.463726493,-1.318867095,0.7364675051680669,-0.225722071,-0.211566892,空平仓/ 开仓多
2025/8/22 4:00,BEARISH_SINGULARITY,0.692879247,-0.640994781,0.4762606350537448,-0.109605024,0.8976858148979668,多平/反空
2025/8/23 0:00,BEARISH_SINGULARITY,0.9649104102932008,0.8779068720239656,0.9268175501566248,-0.14684561,0.8976858148979668,多空仓/反手空
2025/8/24 16:00,BEARISH_SINGULARITY,2.8962509888814183,-1.745305004,0.9794101648156004,-0.138467135,0.8976858148979668,黄金/空平反多
2025/8/26 4:00,BEARISH_SINGULARITY,0.5991984065493355,-1.973134149,0.3730260532710244,-0.068863556,0.026438211,空平仓/反手多
2025/8/27 8:00,BULLISH_SINGULARITY,0.4662171027785079,-0.357262298,-0.435686124,0.076525069,-0.07650371,多平/反空
2025/8/27 20:00,OSCILLATION,0.7481286805715702,-0.419023243,0.1882723634003226,0.016726879,-0.07650371,多平/反空
2025/8/28 8:00,BEARISH_SINGULARITY,0.4750126080402641,0.8272914234575367,0.6100033265702685,-0.107878538,0.5477121377377486,多空仓/反手空
2025/8/28 12:00,BEARISH_SINGULARITY,1.0509701468803228,0.5618162214638037,0.6199666327898934,-0.131311209,0.5477121377377486,空平/反多
2025/8/28 16:00,BEARISH_SINGULARITY,0.6411084836338397,-0.119246289,0.5885869345919705,-0.14521652,0.5477121377377486,多平/反空
2025/8/28 20:00,BEARISH_SINGULARITY,0.4135199790094058,0.4293871849204796,0.5175099800723081,-0.150363827,0.5477121377377486,空平/反多
2025/8/29 16:00,OSCILLATION,0.9544664611055004,-2.575736121,-0.375919005,-0.004285346,-0.345763967,黄金/空平反多
2025/8/29 20:00,BULLISH_SINGULARITY,1.1358943829325332,-2.200793571,-0.519345795,0.042386301,-0.345763967,平空/反手多
2025/9/2 0:00,BULLISH_SINGULARITY,1.4923277651309663,0.9759865503915492,-0.504395381,0.030635924,-0.43090088,多平/反空
2025/9/2 4:00,BULLISH_SINGULARITY,0.9440195664875176,0.8092562497844566,-0.52071396,0.042667572,-0.43090088,多平/反空
2025/9/4 0:00,BEARISH_SINGULARITY,0.6046358005979585,0.4111341300250389,0.6135450319471839,-0.031218798,-0.348597697,空平/反多
2025/9/4 16:00,BEARISH_SINGULARITY,0.8978365284025687,-0.633086677,1.0023477315365754,-0.07910106,-0.348597697,多平/反空
2025/9/4 20:00,BEARISH_SINGULARITY,0.8463131209436908,0.1893670105250857,0.9577506340761792,-0.075789291,-0.348597697,空平/反多
2025/9/5 0:00,BEARISH_SINGULARITY,0.7062758632570026,0.646433585,0.8178938861902962,-0.062401897,0.7188476720878467,多平/反空
2025/9/6 4:00,BEARISH_SINGULARITY,0.2924329479686491,-0.129613788,0.6753725573005069,-0.037341714,0.7188476720878467,空平/反多
2025/9/11 8:00,OSCILLATION,0.6323459420062114,1.11884738,0.00857843,-0.012760096,0.1110023207821342,多平/反空
2025/9/13 0:00,BULLISH_SINGULARITY,0.89242691,1.3075581814193478,-0.571423693,0.024772714,-0.226761445,黄金/多平反空
2025/9/19 4:00,BULLISH_SINGULARITY,0.7289035824244772,0.254611871,-1.032276495,0.083507985,0.3133477898420416,空平/反多
2025/9/23 16:00,BULLISH_SINGULARITY,1.2354167920151993,-1.819224534,-0.467732076,0.056394146,0.1819661835326962,多平/反空
2025/9/23 20:00,BULLISH_SINGULARITY,0.6336681073442904,-1.374663159,-0.402133297,0.046775731,0.1819661835326962,多平/反空
2025/9/25 4:00,OSCILLATION,1.1394473566140793,-1.16854392,0.1587724740651353,-0.008806618,0.1550379492523906,空平/反多
2025/9/25 12:00,BEARISH_SINGULARITY,1.9693185870677123,-1.076221234,0.4059379795181171,-0.039630951,0.1550379492523906,空平/反多
2025/9/29 12:00,BEARISH_SINGULARITY,3.0485202637188324,2.543464809475803,0.4835409556775858,-0.044801766,0.1814357834513707,多平/反空
2025/10/7 8:00,BULLISH_SINGULARITY,0.8940515484116474,0.9469983873452312,-0.478593248,0.039965076,-0.016661908,空平/反多
2025/10/7 12:00,BULLISH_SINGULARITY,2.431747306690877,-1.057847493,-0.507004745,0.042520546,-0.016661908,空平/反多
2025/10/13 0:00,BULLISH_SINGULARITY,0.5960744735979285,-0.012455395,-0.560083937,0.058239034,0.2334909150241095,多平/反空
2025/10/14 12:00,BEARISH_SINGULARITY,1.5324600014298515,-1.010694032,0.3891912048094917,-0.0560942,-0.02846798,空平/反多
2025/10/14 16:00,BEARISH_SINGULARITY,1.5604890114646752,-1.143269089,0.3517483674698205,-0.049494507,-0.02846798,多平/反空
2025/10/16 4:00,BEARISH_SINGULARITY,0.7442672541105334,-1.643068788,0.5812725142867247,-0.035076215,-0.107437357,空平/反多
2025/10/21 0:00,BEARISH_SINGULARITY,0.9620624732692544,-0.244680901,0.962199506,-0.113559119,-0.284984842,多平/反空
2025/10/22 0:00,BEARISH_SINGULARITY,1.2510702060105623,-1.166444295,0.5664555071556913,-0.077140575,0.2124200108776399,空平/反多
2025/10/23 16:00,OSCILLATION,0.8112582238841877,0.9937919979078872,-0.06768169,0.011118312,-0.041464667,多平/反空
2025/10/25 16:00,BULLISH_SINGULARITY,0.3549927572383025,1.0191690753026583,-0.479364089,0.032042888,0.063549415,黄金/多平反空
2025/10/29 0:00,OSCILLATION,0.7824450007836176,-0.787836283,-0.345958433,0.01232217,-0.048890489,空平/反多
2025/10/29 16:00,BULLISH_SINGULARITY,2.412526157684436,-2.068873175,-0.657612524,0.082901683,-0.048890489,空平/反多
2025/10/30 4:00,BULLISH_SINGULARITY,1.9653716394073664,-0.920791361,-0.719427254,0.084168603,-0.696117013,空平/反多
2025/10/30 8:00,BULLISH_SINGULARITY,0.8911687385598726,-2.165708623,-0.791548191,0.086289983,-0.696117013,空平/反多
2025/11/1 16:00,BULLISH_SINGULARITY,0.361501137,-0.045210208,-0.634561681,0.07537497,0.5210861421828454,多平/反空
2025/11/3 0:00,OSCILLATION,1.6474624674368918,-2.022157917,-0.056461204,0.011766245,0.029475883,空平/反多
2025/11/5 4:00,BULLISH_SINGULARITY,0.8713904498771712,-3.3745741,-0.46292152,0.043848557,0.2803366026196298,黄金/空平反多
2025/11/5 20:00,BULLISH_SINGULARITY,0.4646376668442248,-0.94337607,-0.577140782,0.07099405,0.2803366026196298,多平/反空
2025/11/6 20:00,OSCILLATION,0.6040475822069921,-2.288508398,0.1159852714640563,-0.003101286,0.1420314172730564,空平/反多
2025/11/7 4:00,BEARISH_SINGULARITY,0.5228239330819034,-1.345681091,0.411682425,-0.02341008,0.1186002827979388,空平/反多
2025/11/9 12:00,BEARISH_SINGULARITY,1.2793195830384492,1.1756061086734748,0.9087435088106128,-0.093871683,0.1186002827979388,多平/反空
2025/11/13 12:00,OSCILLATION,1.6601936900748446,-1.718257243,-0.110383897,0.018460136,0.019352282,空平/反多
2025/11/14 20:00,BULLISH_SINGULARITY,0.9443282652090031,-5.129130516,-0.362882739,0.083647508,-0.377219835,黄金/空平反多
2025/11/16 4:00,LOW_OSCILLATION,0.2514089853337512,-1.602561728,-0.535688119,0.004584784,-0.377219835,多平/反空
2025/11/16 12:00,LOW_OSCILLATION,0.5144444084564758,-2.697275029,-0.56834558,-0.001069484,-0.377219835,空平/反多
2025/11/24 4:00,BEARISH_SINGULARITY,0.5759127615593909,0.454317485,0.9970781931220488,-0.099821056,0.092783295,多平/反空
2025/12/1 0:00,OSCILLATION,4.334908124243001,-4.376217168,-0.01262947,-0.009213881,-0.103839869,黄金/空平反多
2025/12/1 4:00,OSCILLATION,1.9310206290752685,-3.769761052,-0.008643181,-0.011658664,-0.103839869,多平/反空
2025/12/1 8:00,OSCILLATION,1.1513920073753312,-3.829650008,-0.074132785,-0.00722214,-0.103839869,空平/反多
2025/12/5 16:00,BULLISH_SINGULARITY,1.5717079339715136,-1.942930527,-0.72445969,0.069124969,-0.042769975,空平/反多
2025/12/6 8:00,BULLISH_SINGULARITY,0.4652075344940857,-1.287392201,-0.875725572,0.1422392351243493,-0.042769975,空平/反多
2025/12/8 0:00,OSCILLATION,1.0786963150475315,0.8126162336822205,0.051892294,-0.002770438,-0.071203479,多平/反空
2025/12/8 4:00,OSCILLATION,0.7035562615029207,1.2315768886492209,0.1311592413227079,-0.015466485,-0.071203479,空平/反多
2025/12/8 20:00,BEARISH_SINGULARITY,0.859597021,0.1379308843454558,0.3563956919827402,-0.066046146,-0.071203479,多平/反空
2025/12/9 16:00,OSCILLATION,2.840727520429994,3.083440351304528,0.1206672733168748,-0.008314748,0.1436769961061267,多平/反空
2025/12/11 0:00,BEARISH_SINGULARITY,1.2926961408130386,-1.806701735,0.6062121209700214,-0.059900957,0.5528035110453882,空平/反多
2025/12/21 20:00,HIGH_OSCILLATION,0.3441315064046015,0.6828666587578752,0.862130895,0.001357368,-0.182919531,多平/反空
2025/12/22 0:00,BEARISH_SINGULARITY,1.318931150563008,0.7356873818305063,0.9983098806535972,-0.025790661,0.2420530258510605,多平/反空
2025/12/23 12:00,BEARISH_SINGULARITY,2.035266008587535,-0.902082647,0.9823255891655688,-0.099779742,0.090010004,空平/反多
2025/12/25 0:00,BEARISH_SINGULARITY,0.3332941162998473,0.080730652,0.4037910815471308,-0.077906294,-0.009269,多平/反空
2025/12/25 16:00,OSCILLATION,0.5682270778738804,0.350769063,-0.440164825,-0.005816711,-0.009269,多平/反空
2025/12/29 4:00,BULLISH_SINGULARITY,1.9722635436969689,1.683928540796845,-0.837206297,0.053268239,-0.073668681,空平/反多
2025/12/29 8:00,BULLISH_SINGULARITY,2.621102939317758,-0.581341374,-0.815710555,0.050904651,-0.073668681,多平/反空
2025/12/29 12:00,BULLISH_SINGULARITY,2.309085583226397,-0.398810156,-0.678485347,0.03216374,-0.073668681,空平/反多
2025/12/30 4:00,BULLISH_SINGULARITY,0.6861674417373956,-0.365227675,-0.652588859,0.035528177,0.1730549118524102,空平/反多
2025/12/31 8:00,BULLISH_SINGULARITY,0.8258917718273133,0.9209094915610538,-0.628623555,0.1713211758400016,-0.278312881,多平/反空
2025/12/31 20:00,BEARISH_SINGULARITY,0.6830293995358833,-0.480075441,0.8457918203215765,-0.036449815,-0.278312881,空平/反多
2026/1/3 0:00,BEARISH_SINGULARITY,0.5472155819381462,1.6012098432343258,0.967793046,-0.048468323,0.3086045691600559,黄金/多平反空
2026/1/6 12:00,BEARISH_SINGULARITY,1.7024231125033409,1.3948619216178797,0.4075855304991708,-0.072533087,-0.116578534,空平/反多
2026/1/7 0:00,OSCILLATION,0.9967010207616374,0.3375332163770861,0.1002752018937165,-0.017456543,0.047521733,空平/反多
2026/1/13 12:00,BULLISH_SINGULARITY,2.5132720715806736,2.1194838734091506,-0.354380603,0.020364559,0.064953305,黄金/多平反空
2026/1/14 12:00,BEARISH_SINGULARITY,2.126837059922224,3.730388268617317,0.4118741963288748,-0.022123765,0.064953305,黄金/多平反空
2026/1/17 4:00,BEARISH_SINGULARITY,0.1965812447723877,-0.010014034,0.6810952968370716,-0.025174298,0.064953305,空平/反多
