time,buy_volume,sell_volume,cvd,cvd_change,buy_ratio,trend
2026-01-16 00:00:00,23181894.8458,18566629.5829,4615265.262900002,4615265.262900002,0.5552745914503178,neutral
2026-01-16 00:05:00,14914846.4255,13693138.5815,5836973.106900003,1221707.8440000005,0.5213525671888647,neutral
2026-01-16 00:10:00,4231612.16,7243913.2139,2824672.053000003,-3012301.0538999997,0.36875106124765344,bearish
2026-01-16 00:15:00,7939937.1832,12406605.5821,-1641996.3458999973,-4466668.3989,0.39023519989554006,bearish
2026-01-16 00:20:00,14622787.9597,12497531.336,483260.27780000307,2125256.6237000003,0.5391819985695553,neutral
2026-01-16 00:25:00,4397843.6747,2423952.2637,2457151.6888000034,1973891.4110000003,0.6446753486049717,bullish
2026-01-16 00:30:00,9935659.2334,6293100.0807,6099710.841500004,3642559.1527000004,0.6122254351734467,bullish
2026-01-16 00:35:00,8794140.6198,14531369.592300002,362481.8690000018,-5737228.972500002,0.3770181462199305,bearish
2026-01-16 00:40:00,9854579.5416,6199811.8739,4017249.536700002,3654767.6677,0.613824547225485,bullish
2026-01-16 00:45:00,5469056.5424,11013252.8019,-1526946.7227999978,-5544196.2595,0.3318137299911398,bearish
2026-01-16 00:50:00,8171067.7037,8440963.0221,-1796842.041199997,-269895.3183999993,0.49187651037808316,neutral
2026-01-16 00:55:00,6310338.4707,11527060.9747,-7013564.545199997,-5216722.504,0.3537700935618921,bearish
2026-01-16 01:00:00,6106773.3197,4470390.5689,-5377181.794399997,1636382.7507999996,0.5773545143118981,neutral
2026-01-16 01:05:00,8938065.1906,18643412.1916,-15082528.795399996,-9705347.000999998,0.32406042166429694,bearish
2026-01-16 01:10:00,16686844.982,38909310.7156,-37304994.52899999,-22222465.733599998,0.30014386377294694,bearish
2026-01-16 01:15:00,11404669.2648,7241120.3586,-33141445.622799993,4163548.906199999,0.6116485005541104,bullish
2026-01-16 01:20:00,7806637.6235,4628903.2939,-29963711.293199994,3177734.3296,0.6277682390620285,bullish
2026-01-16 01:25:00,9691533.6281,7287906.7573,-27560084.422399994,2403626.8708000006,0.5707805091405366,neutral
2026-01-16 01:30:00,24290615.6245,17451981.1325,-20721449.930399995,6838634.491999999,0.5819143395870934,neutral
2026-01-16 01:35:00,6632761.854499999,10379566.3038,-24468254.379699998,-3746804.4493000004,0.3898797267947126,bearish
2026-01-16 01:40:00,23531.9664,382.6332,-24445105.046499997,23149.3332,0.9840000164585653,bullish
