entry_time,exit_time,entry_price,exit_price,pnl_pct,pnl_usd,exit_reason,hold_bars,hold_hours
2025-08-20 20:00:00,2025-08-20 16:00:00,114271.24,114276.66,0.004743100713703863,-2.262844964314807,高点,-1,0
2025-08-22 00:00:00,2025-08-22 20:00:00,112929.24,116935.99,3.5480182103412723,174.86133315260184,高点,4,16
2025-08-23 20:00:00,2025-08-23 20:00:00,115438.05,115438.05,0.0,-2.5431496220470717,高点,0,0
2025-08-25 00:00:00,2025-08-25 12:00:00,112916.84,112200.64,-0.6342720890878607,-34.795425063299355,高点,3,12
2025-08-26 20:00:00,2025-08-26 20:00:00,111763.22,111763.22,0.0,-2.5338149783757355,高点,0,0
2025-09-04 20:00:00,2025-09-05 04:00:00,110730.87,112954.32,2.0079766374092536,99.19820487089055,高点,2,8
2025-09-07 00:00:00,2025-09-07 12:00:00,110629.15,111329.99,0.6335039182710986,29.851839612422644,高点,1,4
2025-09-26 04:00:00,2025-09-26 00:00:00,109320.02,109580.01,0.2378246912139155,9.637074676833898,高点,-1,0
2025-09-30 16:00:00,2025-09-30 16:00:00,114359.99,114359.99,0.0,-2.5678533044211775,高点,0,0
2025-10-02 12:00:00,2025-10-02 16:00:00,119910.78,120836.49,0.7719989812425592,37.070479458099726,高点,1,4
2025-10-03 12:00:00,2025-10-03 04:00:00,122258.05,119640.21,-2.1412414151869728,-112.91374809225137,止损,-2,0
2025-10-14 16:00:00,2025-10-16 08:00:00,112613.7,111404.72,-1.0735638736672322,-57.26244459497374,高点,8,32
2025-10-17 12:00:00,2025-10-17 12:00:00,106803.53,106803.53,0.0,-2.5339349127877915,高点,0,0
2025-10-18 04:00:00,2025-10-18 08:00:00,106665.0,107208.6,0.5096329630150526,23.287776840978566,高点,1,4
2025-10-19 12:00:00,2025-10-20 04:00:00,108486.7,111169.92,2.4733170056790383,123.0620169992385,高点,4,16
2025-10-21 12:00:00,2025-10-21 04:00:00,113422.61,108086.37,-4.7047409683131125,-244.3831185990974,止损,-2,0
2025-10-28 08:00:00,2025-10-28 08:00:00,114357.73,114357.73,0.0,-2.5087930978698743,高点,0,0
2025-11-07 16:00:00,2025-11-07 08:00:00,103395.25,100411.89,-2.8853936713727184,-147.24908616850436,止损,-2,0
2025-11-08 20:00:00,2025-11-08 20:00:00,102312.94,102312.94,0.0,-2.4713536280532806,高点,0,0
2025-11-09 08:00:00,2025-11-10 04:00:00,102239.41,106461.45,4.1295621717691775,201.59040527754323,高点,5,20
2025-11-10 20:00:00,2025-11-11 00:00:00,106011.13,106456.0,0.4196446165605398,18.63846771202945,高点,1,4
2025-11-12 04:00:00,2025-11-12 08:00:00,103112.66,105020.83,1.8505681067678772,90.95724668621261,高点,1,4
2025-11-17 00:00:00,2025-11-17 04:00:00,95496.77,95653.77,0.164403466211475,5.831218622204619,高点,1,4
2025-11-22 20:00:00,2025-11-21 08:00:00,84739.74,82309.66,-2.8676982015757915,-148.8020319894991,止损,-2,0
2025-11-24 04:00:00,2025-11-24 00:00:00,87050.39,87460.02,0.47056653048884056,21.135904214869132,高点,-1,0
2025-11-24 16:00:00,2025-11-24 08:00:00,88327.29,86264.72,-2.335144664802908,-120.11939588401673,止损,-2,0
2025-11-26 00:00:00,2025-11-27 04:00:00,87119.92,91408.34,4.92243335393329,242.45654641859392,高点,5,20
2025-12-09 20:00:00,2025-12-08 20:00:00,92678.8,90634.34,-2.2059629602455,-114.99355550832962,止损,-2,0
2025-12-11 08:00:00,2025-12-11 20:00:00,90242.35,92513.38,2.516590048907191,124.3116734946087,高点,3,12
2025-12-18 00:00:00,2025-12-19 08:00:00,86618.34,88198.7,1.8245096823605724,90.53503715146412,高点,4,16
2025-12-23 00:00:00,2025-12-25 00:00:00,88170.0,87840.42,-0.37380061245321733,-21.81404455031171,最大持仓(10周期),10,40
2026-01-01 12:00:00,2026-01-03 00:00:00,88032.18,90321.22,2.600230960996318,130.9884134666561,高点,2,8
2026-01-03 12:00:00,2026-01-04 04:00:00,89969.31,91532.0,1.7369145100701588,87.75041699317632,高点,4,16
2026-01-06 12:00:00,2026-01-06 08:00:00,93648.99,93840.0,0.20396375871218125,8.076484173782063,高点,-1,0
2026-01-15 08:00:00,2026-01-15 12:00:00,96581.08,96737.04,0.16148090288490444,5.852460864804042,高点,1,4
2026-01-16 08:00:00,2026-01-16 04:00:00,95429.09,95653.16,0.23480261626722732,9.707070110756378,高点,-1,0
2026-01-17 12:00:00,2026-01-17 12:00:00,95573.64,95573.64,0.0,-2.6287613689599034,高点,0,0
